Provenance-Emu,Provenance,https://github.com/Provenance-Emu/Provenance/issues/694,694,"    - Lib retro fork. May or may not have useable additions. They focus on lower power and portable devices so at least worth keeping an eye on for patches.",Issue
Provenance-Emu,Provenance,https://github.com/Provenance-Emu/Provenance/issues/599,599,I get an issues like this and this was due to a low battery level + a long distance from the Apple TV. try to make a full charge of the Nimbus and play closer if the issues continue.,Issue
Provenance-Emu,Provenance,https://github.com/Provenance-Emu/Provenance/issues/569,569,- Investigate possibility to leave web UI running (at least on ATV since battery isn't a concern) if CPU usage is near 0 when no clients are connected.,Issue
Provenance-Emu,Provenance,https://github.com/Provenance-Emu/Provenance/issues/277,277,"There might be a better implementation that may allow GBA to fast forward without losing sync, but I fear it wouldn't do your battery any good. ",Issue
macoscope,GrandCentralBoard,https://github.com/macoscope/GrandCentralBoard/pull/2,2,"Example: Electric energy used (in the office) is cumulative, current temperature is momentary.",PullRequest
coolioxlr,watchOS-2-heartrate,https://github.com/coolioxlr/watchOS-2-heartrate/issues/11,11,as sample. Only difference is I query the heartrate and Apple's example query active energy.,Issue
coolioxlr,watchOS-2-heartrate,https://github.com/coolioxlr/watchOS-2-heartrate/issues/4,4,"The sensor doesn't turn off when I exit my app and it will cause battery to drain, so i have to stop the workout session in the didDeactivate method. So when I open the app it will start again in willActivate. Is this the correct implementation?",Issue
brave,browser-ios,https://github.com/brave/browser-ios/issues/555,555,">I love the browser, but the battery consumption is awful. The battery life of my iPhone SE drops significantly any time I use this browser.",Issue
mozilla-mobile,firefox-ios,https://github.com/mozilla-mobile/firefox-ios/issues/3961,3961,"Interesting, agreed blur effects can sometimes impact performance. Do you have a profile that shows an impact from this? There is a lot of heavy DB code in the table views that is our critical path CPU-wise, and IIRC we do lots of on-demand image resizing (which I see on CPU profile, not GPU) which is a heavyweight rendering operation. Changing this alpha might not make a measurable impact on CPU perf, maybe it saves some power demand on the GPU though. Some of the apple docs on rendering perf are based on older GPUs, or for code to support older GPU (typically 32-bit devices), 64-bit devices all have GPUs that can handle blur quite well.",Issue
mozilla-mobile,firefox-ios,https://github.com/mozilla-mobile/firefox-ios/issues/1274,1274,"> I have Background App Refresh disabled... system-wide.  Yet, the Firefox app managed to get 8.6 hours of Background App Refresh...  and a significant chunk of my battery charge.  Firefox even used more battery than my Safari app, even though I BARELY used the Firefox app.  Firefox is NOT respecting the Background App Refresh setting...  it's going ahead and performing Background App Refresh—and tons of it, at that—despite the setting.",Issue
mozilla-mobile,firefox-ios,https://github.com/mozilla-mobile/firefox-ios/issues/601,601,Firefox using signficant energy,Issue
mozilla-mobile,firefox-ios,https://github.com/mozilla-mobile/firefox-ios/pull/3017,3017,"Do you really want to fetch and update the FxA device list every time we even consider syncing clients? Remember that `synchronizeLocalClients` won't do any work unless we need to, and your `updateFxADevices` flow here not only hits the network, but also writes to the DB. That's power-hungry.",PullRequest
mozilla-mobile,firefox-ios,https://github.com/mozilla-mobile/firefox-ios/pull/2728,2728,"It's not clear the maximum HTTP requests we're allowed to use in an APNS extension, though there is a time and battery pressure to minimise the number before push notifications are throttled.",PullRequest
